Ботанический сад, вход-выход 2 в северный вестибюль;37.6389383;55.8466671
Ботанический сад, вход-выход 4 в южный вестибюль;37.637514;55.843831
ВДНХ, вход-выход 3 в южный вестибюль;37.639943;55.82028
Волгоградский проспект, вход-выход 2 в восточный вестибюль;37.687808;55.724559
Волжская, вход-выход 4 в северный вестибюль;37.7511401;55.6911954
Домодедовская, вход-выход 13 в северный вестибюль;37.71815;55.610256
ВДНХ, вход-выход 4 в южный вестибюль;37.641058;55.819972
Волжская, вход-выход 3 в северный вестибюль;37.7515886;55.6910781
Волжская, вход-выход 1 в южный вестибюль;37.7552393;55.690745
Домодедовская, вход-выход 9 в северный вестибюль;37.716894;55.610249
Домодедовская, вход-выход 11 в северный вестибюль;37.7175836;55.6099729
Домодедовская, вход-выход 2 в южный вестибюль;37.720888;55.610893
Дмитровская, вход-выход 1 в вестибюль;37.580614;55.807779
Дмитровская, вход-выход 4 в вестибюль;37.5818692;55.8081488
Дубровка, вход-выход 3 в вестибюль;37.6762283;55.7178288
Зябликово, вход-выход 9 в северный вестибюль;37.745559;55.6134881
Зябликово, вход-выход 10 в северный вестибюль;37.744236;55.6133905
Измайловская, вход-выход 6 в западный вестибюль;37.7798923;55.7877899
Измайловская, вход-выход 1 в восточный вестибюль;37.7833622;55.7878638
Коньково, вход-выход 6 в северный вестибюль;37.5189922;55.6343754
Коньково, вход-выход 1 в южный вестибюль;37.519367;55.632188
Коньково, вход-выход 8 в северный вестибюль;37.519875;55.634650
Коньково, вход-выход 9 в северный вестибюль;37.5199465;55.6340114
Коньково, вход-выход 10 в северный вестибюль;37.520530;55.633854
Красногвардейская, вход-выход 1 в южный вестибюль;37.746215;55.6142123
Красногвардейская, вход-выход 4 в южный вестибюль;37.7462738;55.6136532
Красногвардейская, вход-выход 3 в южный вестибюль;37.7466762;55.6136652
Красногвардейская, вход-выход 2 в южный вестибюль;37.7465907;55.6142302
Красногвардейская, вход-выход 6 в северный вестибюль;37.7424333;55.6134561
Орехово, вход-выход 2 в северный вестибюль;37.6935179;55.6138351
Орехово, вход-выход 3 в северный вестибюль;37.6940766;55.6141812
Отрадное, вход-выход 5 в южный вестибюль;37.604393;55.862542
Отрадное, вход-выход 2 в северный вестибюль;37.605332;55.864331
Отрадное, вход-выход 3 в северный вестибюль;37.606024;55.864174
Отрадное, вход-выход 8 в южный вестибюль;37.603694;55.862857
Охотный ряд, вход-выход 2 в южный вестибюль;37.614359;55.757049
Охотный ряд, вход-выход 1 в южный вестибюль;37.614546;55.756888
